transaction_id,proof_photo_provided,gps_mismatch
T1001,True,False
T1002,True,False
T1003,True,False
T1004,True,False
T1005,True,False
T1006,True,False
T1007,True,False
T1008,False,False
T1009,True,False
T1010,True,False
T1011,True,False
T1012,True,False
T1013,True,False
T1014,True,False
T1015,True,False
T1016,True,False
T1017,True,False
T1018,True,False
T1019,True,True
T1020,True,False
T1021,True,False
T1022,True,False
T1023,True,False
T1024,True,False
T1025,True,False
T1026,True,False
T1027,True,False
T1028,True,False
T1029,True,False
T1030,True,False
T1031,True,False
T1032,False,False
T1033,True,False
T1034,True,False
T1035,True,False
T1036,True,False
T1037,True,True
T1038,True,False
T1039,True,False
T1040,False,False
T1041,True,False
T1042,True,False
T1043,True,False
T1044,False,False
T1045,True,False
T1046,True,False
T1047,True,False
T1048,True,False
T1049,True,False
T1050,True,False
T1051,True,False
T1052,True,False
T1053,True,False
T1054,True,False
T1055,True,False
T1056,True,False
T1057,True,False
T1058,True,False
T1059,True,True
T1060,True,False
T1061,True,False
T1062,True,False
T1063,True,False
T1064,False,False
T1065,True,False
T1066,True,True
T1067,True,False
T1068,True,False
T1069,True,False
T1070,True,True
T1071,True,False
T1072,True,False
T1073,True,False
T1074,True,False
T1075,True,False
T1076,True,False
T1077,True,False
T1078,True,False
T1079,True,False
T1080,True,False
T1081,True,False
T1082,True,False
T1083,True,False
T1084,True,False
T1085,True,False
T1086,True,False
T1087,True,True
T1088,True,False
T1089,True,False
T1090,True,False
T1091,True,False
T1092,True,False
T1093,True,False
T1094,False,True
T1095,True,False
T1096,True,False
T1097,True,False
T1098,True,False
T1099,True,False
T1100,False,False
T1101,True,False
T1102,True,False
T1103,True,False
T1104,True,False
T1105,True,False
T1106,False,False
T1107,True,False
T1108,True,False
T1109,True,False
T1110,True,True
T1111,True,False
T1112,True,False
T1113,True,False
T1114,True,False
T1115,True,False
T1116,True,False
T1117,True,True
T1118,True,False
T1119,True,False
T1120,True,False
T1121,True,False
T1122,True,False
T1123,True,False
T1124,True,False
T1125,True,False
T1126,False,False
T1127,True,False
T1128,True,False
T1129,False,False
T1130,True,False
T1131,True,False
T1132,True,True
T1133,True,False
T1134,True,False
T1135,True,False
T1136,True,False
T1137,True,False
T1138,True,False
T1139,True,False
T1140,True,False
T1141,True,False
T1142,True,False
T1143,True,False
T1144,True,False
T1145,True,True
T1146,True,False
T1147,True,False
T1148,True,False
T1149,True,False
T1150,True,False
T1151,True,False
T1152,False,False
T1153,True,False
T1154,True,False
T1155,True,False
T1156,True,True
T1157,True,False
T1158,True,False
T1159,True,False
T1160,True,False
T1161,True,False
T1162,True,False
T1163,True,False
T1164,True,False
T1165,True,True
T1166,True,False
T1167,True,False
T1168,True,False
T1169,True,False
T1170,True,False
T1171,True,False
T1172,True,False
T1173,False,False
T1174,True,False
T1175,True,False
T1176,True,False
T1177,False,False
T1178,True,False
T1179,True,False
T1180,False,False
T1181,True,False
T1182,True,False
T1183,True,False
T1184,True,False
T1185,True,False
T1186,True,False
T1187,True,False
T1188,True,False
T1189,False,False
T1190,True,False
T1191,True,False
T1192,True,False
T1193,True,False
T1194,True,False
T1195,True,False
T1196,True,False
T1197,True,False
T1198,False,False
T1199,True,False
T1200,True,False
T1201,True,False
T1202,True,False
T1203,True,False
T1204,True,False
T1205,True,False
T1206,True,False
T1207,True,False
T1208,True,False
T1209,True,False
T1210,True,False
T1211,False,False
T1212,True,False
T1213,True,False
T1214,False,False
T1215,True,False
T1216,True,False
T1217,True,False
T1218,False,False
T1219,True,False
T1220,True,False
T1221,True,False
T1222,True,False
T1223,True,False
T1224,True,False
T1225,True,False
T1226,True,False
T1227,True,False
T1228,True,False
T1229,True,False
T1230,True,False
T1231,True,False
T1232,True,False
T1233,True,False
T1234,True,False
T1235,False,False
T1236,True,False
T1237,True,False
T1238,True,False
T1239,True,False
T1240,True,False
T1241,True,False
T1242,True,True
T1243,True,False
T1244,True,False
T1245,True,False
T1246,True,False
T1247,True,False
T1248,True,False
T1249,True,False
T1250,True,False
T1251,False,False
T1252,True,False
T1253,False,False
T1254,True,False
T1255,False,False
T1256,True,False
T1257,True,False
T1258,True,False
T1259,True,False
T1260,True,False
T1261,True,False
T1262,True,False
T1263,True,False
T1264,False,False
T1265,True,False
T1266,True,False
T1267,True,False
T1268,True,False
T1269,True,False
T1270,True,False
T1271,True,False
T1272,True,False
T1273,True,False
T1274,True,False
T1275,False,False
T1276,True,False
T1277,True,False
T1278,True,False
T1279,True,False
T1280,True,False
T1281,True,False
T1282,True,False
T1283,False,False
T1284,True,False
T1285,True,False
T1286,True,False
T1287,True,False
T1288,True,False
T1289,True,False
T1290,True,False
T1291,True,False
T1292,False,False
T1293,True,False
T1294,True,False
T1295,True,False
T1296,True,False
T1297,True,False
T1298,True,False
T1299,True,False
T1300,False,False
T1301,True,False
T1302,True,False
T1303,True,False
T1304,True,False
T1305,True,False
T1306,True,False
T1307,True,False
T1308,True,False
T1309,False,False
T1310,True,False
T1311,True,False
T1312,True,False
T1313,True,False
T1314,True,False
T1315,True,False
T1316,True,False
T1317,True,False
T1318,True,False
T1319,True,False
T1320,True,False
T1321,True,False
T1322,True,False
T1323,True,False
T1324,True,False
T1325,True,False
T1326,True,False
T1327,True,False
T1328,True,False
T1329,True,False
T1330,True,False
T1331,True,False
T1332,True,False
T1333,True,False
T1334,True,False
T1335,True,False
T1336,True,False
T1337,True,False
T1338,True,False
T1339,False,False
T1340,True,False
T1341,True,False
T1342,True,False
T1343,True,False
T1344,True,False
T1345,True,False
T1346,True,False
T1347,True,False
T1348,True,False
T1349,True,False
T1350,True,False
T1351,True,False
T1352,True,False
T1353,True,False
T1354,True,False
T1355,True,False
T1356,True,False
T1357,True,False
T1358,True,False
T1359,True,True
T1360,True,False
T1361,True,False
T1362,True,False
T1363,True,False
T1364,True,False
T1365,True,False
T1366,True,False
T1367,True,False
T1368,True,False
T1369,False,False
T1370,True,False
T1371,True,False
T1372,True,False
T1373,True,False
T1374,True,False
T1375,True,False
T1376,True,False
T1377,False,False
T1378,True,False
T1379,True,False
T1380,True,False
T1381,True,False
T1382,True,False
T1383,True,False
T1384,True,True
T1385,True,False
T1386,True,False
T1387,True,False
T1388,True,False
T1389,True,False
T1390,True,False
T1391,True,False
T1392,True,False
T1393,True,False
T1394,True,False
T1395,True,False
T1396,True,False
T1397,True,False
T1398,True,False
T1399,True,False
T1400,True,False
T1401,True,False
T1402,True,False
T1403,True,False
T1404,True,False
T1405,True,False
T1406,False,False
T1407,False,False
T1408,True,False
T1409,False,False
T1410,False,False
T1411,False,False
T1412,False,False
T1413,True,False
T1414,True,False
T1415,True,False
T1416,True,False
T1417,False,False
T1418,False,False
T1419,True,False
T1420,False,True
T1421,False,False
T1422,True,False
T1423,False,True
T1424,True,True
T1425,False,True
T1426,False,False
T1427,False,False
T1428,False,False
T1429,True,True
