seller_id,tenure_days,size
S000,86,large
S001,39,large
S002,72,large
S003,221,large
S004,88,small
S005,334,medium
S006,739,medium
S007,891,large
S008,84,large
S009,71,large
S010,395,medium
S011,20,medium
S012,701,small
S013,31,medium
S014,68,large
S015,56,large
S016,192,small
S017,710,medium
S018,52,medium
S019,61,medium
S020,692,small
S021,75,medium
S022,828,large
S023,88,large
S024,81,medium
S025,551,small
S026,196,small
S027,54,medium
S028,773,large
S029,43,medium
S030,223,large
S031,847,large
S032,414,medium
S033,844,medium
S034,523,large
S035,122,large
S036,731,large
S037,106,large
S038,47,large
S039,190,small
S_RING00,15,small
S_RING01,18,small
S_RING02,47,small
