transaction_id,seller_id,customer_id,delivery_partner_id,device_id,ip_address,amount,is_return,status
T1001,S000,C031,D06,DEV031,192.168.31.217,683,True,
T1002,S000,C028,D00,DEV028,192.168.28.196,2961,False,
T1003,S000,C017,D07,DEV017,192.168.17.119,326,False,
T1004,S000,C094,D06,DEV094,192.168.94.146,936,False,
T1005,S000,C013,D01,DEV013,192.168.13.91,696,False,
T1006,S000,C086,D04,DEV086,192.168.86.90,2181,False,
T1007,S000,C114,D06,DEV114,192.168.114.30,1500,True,
T1008,S000,C069,D05,DEV069,192.168.69.227,584,False,
T1009,S000,C011,D04,DEV011,192.168.11.77,1253,False,
T1010,S000,C075,D07,DEV075,192.168.75.13,1794,False,
T1011,S001,C068,D08,DEV068,192.168.68.220,1628,False,
T1012,S001,C093,D03,DEV093,192.168.93.139,1592,False,
T1013,S001,C031,D09,DEV031,192.168.31.217,1588,False,
T1014,S001,C020,D07,DEV020,192.168.20.140,871,False,
T1015,S001,C059,D04,DEV059,192.168.59.157,2054,False,
T1016,S001,C048,D03,DEV048,192.168.48.80,866,False,
T1017,S001,C034,D00,DEV034,192.168.34.238,926,False,
T1018,S001,C118,D06,DEV118,192.168.118.58,1876,False,
T1019,S002,C087,D05,DEV087,192.168.87.97,2080,False,
T1020,S002,C113,D04,DEV113,192.168.113.23,1031,False,
T1021,S002,C068,D04,DEV068,192.168.68.220,2379,False,
T1022,S002,C096,D02,DEV096,192.168.96.160,2472,False,
T1023,S002,C034,D07,DEV034,192.168.34.238,1786,True,
T1024,S002,C098,D04,DEV098,192.168.98.174,1286,False,
T1025,S002,C082,D01,DEV082,192.168.82.62,583,False,
T1026,S003,C033,D03,DEV033,192.168.33.231,1934,False,
T1027,S003,C067,D07,DEV067,192.168.67.213,2149,False,
T1028,S003,C111,D05,DEV111,192.168.111.9,2568,True,
T1029,S003,C077,D01,DEV077,192.168.77.27,541,False,
T1030,S003,C054,D05,DEV054,192.168.54.122,1274,True,
T1031,S003,C027,D08,DEV027,192.168.27.189,2638,False,
T1032,S003,C118,D07,DEV118,192.168.118.58,1079,False,
T1033,S003,C069,D05,DEV069,192.168.69.227,2212,False,
T1034,S004,C093,D04,DEV093,192.168.93.139,608,False,
T1035,S004,C043,D08,DEV043,192.168.43.45,2971,False,
T1036,S004,C102,D01,DEV102,192.168.102.202,1268,False,
T1037,S004,C110,D03,DEV110,192.168.110.2,540,False,
T1038,S004,C013,D06,DEV013,192.168.13.91,2163,False,
T1039,S004,C031,D08,DEV031,192.168.31.217,2293,False,
T1040,S004,C024,D00,DEV024,192.168.24.168,2520,False,
T1041,S004,C068,D00,DEV068,192.168.68.220,2359,False,
T1042,S004,C057,D00,DEV057,192.168.57.143,628,False,
T1043,S004,C017,D01,DEV017,192.168.17.119,1263,False,
T1044,S004,C054,D09,DEV054,192.168.54.122,2735,False,
T1045,S004,C023,D09,DEV023,192.168.23.161,1595,False,
T1046,S005,C085,D01,DEV085,192.168.85.83,2844,True,
T1047,S005,C082,D01,DEV082,192.168.82.62,2372,False,
T1048,S005,C038,D01,DEV038,192.168.38.10,1813,False,
T1049,S005,C058,D08,DEV058,192.168.58.150,2805,False,
T1050,S005,C040,D08,DEV040,192.168.40.24,2571,True,
T1051,S005,C118,D02,DEV118,192.168.118.58,738,False,
T1052,S005,C096,D04,DEV096,192.168.96.160,1704,False,
T1053,S005,C119,D04,DEV119,192.168.119.65,1328,False,
T1054,S006,C000,D02,DEV000,192.168.0.0,2559,False,
T1055,S006,C042,D01,DEV042,192.168.42.38,910,True,
T1056,S006,C098,D09,DEV098,192.168.98.174,2060,False,
T1057,S006,C016,D00,DEV016,192.168.16.112,1160,False,
T1058,S006,C081,D05,DEV081,192.168.81.55,1964,False,
T1059,S006,C033,D03,DEV033,192.168.33.231,1025,False,
T1060,S007,C034,D07,DEV034,192.168.34.238,2185,False,
T1061,S007,C020,D03,DEV020,192.168.20.140,1091,False,
T1062,S007,C100,D01,DEV100,192.168.100.188,1443,False,
T1063,S007,C089,D08,DEV089,192.168.89.111,413,False,
T1064,S007,C013,D02,DEV013,192.168.13.91,1387,False,
T1065,S007,C048,D05,DEV048,192.168.48.80,1584,False,
T1066,S007,C111,D01,DEV111,192.168.111.9,2661,False,
T1067,S007,C004,D06,DEV004,192.168.4.28,2505,True,
T1068,S007,C109,D03,DEV109,192.168.109.251,586,False,
T1069,S008,C064,D03,DEV064,192.168.64.192,1852,False,
T1070,S008,C039,D09,DEV039,192.168.39.17,1963,False,
T1071,S008,C085,D04,DEV085,192.168.85.83,2675,False,
T1072,S008,C052,D07,DEV052,192.168.52.108,1175,False,
T1073,S008,C041,D02,DEV041,192.168.41.31,1462,False,
T1074,S008,C051,D05,DEV051,192.168.51.101,1262,False,
T1075,S008,C089,D03,DEV089,192.168.89.111,489,False,
T1076,S008,C037,D01,DEV037,192.168.37.3,2879,False,
T1077,S008,C070,D06,DEV070,192.168.70.234,1299,False,
T1078,S008,C016,D01,DEV016,192.168.16.112,1196,False,
T1079,S009,C117,D08,DEV117,192.168.117.51,2112,False,
T1080,S009,C108,D08,DEV108,192.168.108.244,2544,False,
T1081,S009,C015,D07,DEV015,192.168.15.105,1312,False,
T1082,S009,C058,D08,DEV058,192.168.58.150,1279,False,
T1083,S009,C017,D04,DEV017,192.168.17.119,1675,False,
T1084,S009,C102,D02,DEV102,192.168.102.202,1868,False,
T1085,S009,C059,D01,DEV059,192.168.59.157,1655,False,
T1086,S009,C085,D03,DEV085,192.168.85.83,1895,False,
T1087,S009,C067,D00,DEV067,192.168.67.213,2658,False,
T1088,S010,C095,D06,DEV095,192.168.95.153,2214,False,
T1089,S010,C094,D08,DEV094,192.168.94.146,1913,True,
T1090,S010,C069,D01,DEV069,192.168.69.227,855,False,
T1091,S010,C102,D04,DEV102,192.168.102.202,1166,False,
T1092,S010,C077,D06,DEV077,192.168.77.27,2026,False,
T1093,S010,C114,D00,DEV114,192.168.114.30,513,False,
T1094,S010,C028,D01,DEV028,192.168.28.196,2969,False,
T1095,S010,C062,D03,DEV062,192.168.62.178,383,False,
T1096,S010,C034,D07,DEV034,192.168.34.238,2610,False,
T1097,S010,C055,D04,DEV055,192.168.55.129,987,False,
T1098,S010,C003,D01,DEV003,192.168.3.21,970,False,
T1099,S010,C049,D00,DEV049,192.168.49.87,2658,False,
T1100,S010,C043,D06,DEV043,192.168.43.45,1112,False,
T1101,S010,C085,D03,DEV085,192.168.85.83,1535,False,
T1102,S011,C054,D05,DEV054,192.168.54.122,2183,False,
T1103,S011,C084,D08,DEV084,192.168.84.76,1406,False,
T1104,S011,C047,D07,DEV047,192.168.47.73,2726,False,
T1105,S011,C008,D01,DEV008,192.168.8.56,2146,False,
T1106,S011,C064,D09,DEV064,192.168.64.192,1677,False,
T1107,S011,C082,D02,DEV082,192.168.82.62,1753,False,
T1108,S011,C043,D09,DEV043,192.168.43.45,1431,False,
T1109,S011,C001,D03,DEV001,192.168.1.7,1964,False,
T1110,S011,C108,D07,DEV108,192.168.108.244,2310,False,
T1111,S011,C053,D04,DEV053,192.168.53.115,1296,False,
T1112,S011,C105,D07,DEV105,192.168.105.223,1708,False,
T1113,S011,C062,D05,DEV062,192.168.62.178,2158,False,
T1114,S011,C013,D01,DEV013,192.168.13.91,1592,False,
T1115,S011,C055,D02,DEV055,192.168.55.129,2283,False,
T1116,S012,C037,D04,DEV037,192.168.37.3,523,True,
T1117,S012,C029,D02,DEV029,192.168.29.203,2310,False,
T1118,S012,C046,D04,DEV046,192.168.46.66,2104,False,
T1119,S012,C022,D04,DEV022,192.168.22.154,2256,False,
T1120,S012,C038,D07,DEV038,192.168.38.10,2878,True,
T1121,S012,C001,D09,DEV001,192.168.1.7,648,False,
T1122,S012,C090,D06,DEV090,192.168.90.118,2833,False,
T1123,S012,C068,D07,DEV068,192.168.68.220,1517,False,
T1124,S012,C016,D04,DEV016,192.168.16.112,546,False,
T1125,S013,C020,D07,DEV020,192.168.20.140,2224,False,
T1126,S013,C030,D04,DEV030,192.168.30.210,2159,False,
T1127,S013,C022,D04,DEV022,192.168.22.154,2860,False,
T1128,S013,C070,D03,DEV070,192.168.70.234,2530,False,
T1129,S013,C009,D04,DEV009,192.168.9.63,592,False,
T1130,S013,C000,D09,DEV000,192.168.0.0,2631,False,
T1131,S013,C052,D07,DEV052,192.168.52.108,1948,False,
T1132,S014,C113,D00,DEV113,192.168.113.23,2656,False,
T1133,S014,C055,D04,DEV055,192.168.55.129,1017,False,
T1134,S014,C094,D04,DEV094,192.168.94.146,2697,False,
T1135,S014,C041,D01,DEV041,192.168.41.31,1972,False,
T1136,S014,C077,D02,DEV077,192.168.77.27,2329,False,
T1137,S014,C032,D08,DEV032,192.168.32.224,660,True,
T1138,S015,C059,D08,DEV059,192.168.59.157,1479,False,
T1139,S015,C052,D01,DEV052,192.168.52.108,2880,True,
T1140,S015,C006,D02,DEV006,192.168.6.42,356,False,
T1141,S015,C024,D01,DEV024,192.168.24.168,781,False,
T1142,S015,C066,D04,DEV066,192.168.66.206,1419,False,
T1143,S015,C046,D07,DEV046,192.168.46.66,2557,False,
T1144,S015,C079,D09,DEV079,192.168.79.41,859,False,
T1145,S015,C096,D06,DEV096,192.168.96.160,2379,False,
T1146,S015,C063,D04,DEV063,192.168.63.185,2675,False,
T1147,S015,C080,D02,DEV080,192.168.80.48,2283,False,
T1148,S015,C056,D08,DEV056,192.168.56.136,1618,False,
T1149,S015,C097,D03,DEV097,192.168.97.167,1256,False,
T1150,S015,C026,D05,DEV026,192.168.26.182,1861,False,
T1151,S015,C034,D02,DEV034,192.168.34.238,451,False,
T1152,S016,C116,D09,DEV116,192.168.116.44,2961,False,
