transaction_id,seller_id,customer_id,delivery_partner_id,amount,timestamp,status
T1001,S001,C101,D01,1200,2026-07-01 10:15:00,delivered
T1002,S001,C102,D01,1150,2026-07-01 11:20:00,delivered
T1003,S001,C103,D01,1300,2026-07-01 12:05:00,delivered
T1004,S001,C101,D02,1250,2026-07-02 09:10:00,delivered
T1005,S002,C104,D03,800,2026-07-02 14:30:00,delivered
T1006,S002,C105,D03,750,2026-07-02 15:00:00,delivered
T1007,S003,C106,D04,2200,2026-07-03 08:45:00,returned
T1008,S003,C107,D04,2100,2026-07-03 09:30:00,returned
T1009,S004,C108,D05,500,2026-07-03 10:00:00,delivered
T1010,S004,C109,D05,520,2026-07-03 10:45:00,delivered
T1011,S001,C102,D01,1400,2026-07-04 11:00:00,delivered
T1012,S001,C103,D01,1350,2026-07-04 12:15:00,delivered
T1013,S005,C110,D06,900,2026-07-04 13:00:00,delivered
T1014,S005,C111,D06,950,2026-07-04 14:00:00,delivered
T1015,S001,C101,D01,1500,2026-07-05 09:00:00,delivered
T1016,S006,C112,D07,300,2026-07-05 10:00:00,delivered
T1017,S006,C113,D07,280,2026-07-05 11:00:00,delivered
T1018,S001,C102,D01,1600,2026-07-05 12:00:00,delivered
T1019,S007,C114,D08,4000,2026-07-06 09:00:00,delivered
T1020,S007,C115,D08,4200,2026-07-06 10:00:00,returned
